epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,285.023,1.37018,0.94205,1.37265,0.97486,0.9,0.89818,0.53868,1.54642,0.85086,1.3453,0.00143595,0.00143595,0.00143595
44,291.109,1.40351,1.00865,1.41666,0.88685,0.9,0.89561,0.55748,1.55203,1.28621,1.47016,0.00143045,0.00143045,0.00143045
45,296.928,1.40444,0.98394,1.41522,0.96219,0.9,0.89567,0.53278,1.52204,1.03119,1.43586,0.00142495,0.00142495,0.00142495
46,303.13,1.37795,0.9766,1.42843,0.97237,0.9,0.89678,0.5825,1.51888,0.9012,1.45723,0.00141945,0.00141945,0.00141945
47,308.87,1.42902,0.97035,1.43096,0.98933,0.88816,0.89667,0.52141,1.7088,1.01301,1.55834,0.00141395,0.00141395,0.00141395
48,315.315,1.39866,0.92823,1.39395,0.9777,0.9,0.89636,0.57044,1.50658,0.97965,1.46246,0.00140845,0.00140845,0.00140845
49,321.206,1.43249,0.95201,1.42866,0.98242,0.9,0.89716,0.52219,1.65028,0.85262,1.56393,0.00140295,0.00140295,0.00140295
50,327.694,1.39108,0.93,1.37853,0.98015,0.9,0.89721,0.61158,1.47308,0.83453,1.4305,0.00139745,0.00139745,0.00139745
51,333.366,1.3402,0.89538,1.39032,0.98437,0.9,0.89716,0.58236,1.4587,0.92874,1.38039,0.00139195,0.00139195,0.00139195
52,339.985,1.33334,0.92741,1.35241,0.98495,1,0.995,0.61011,1.3315,0.56134,1.2362,0.00138644,0.00138644,0.00138644
53,345.627,1.38813,0.91437,1.40109,0.96233,1,0.995,0.53293,1.54162,0.73317,1.44484,0.00138094,0.00138094,0.00138094
54,351.81,1.34656,0.94268,1.35574,0.98632,0.9,0.89912,0.51403,1.50628,0.77104,1.41893,0.00137544,0.00137544,0.00137544
55,357.712,1.35977,0.91861,1.38078,0.91425,0.8815,0.89868,0.51118,1.53194,0.87713,1.39464,0.00136994,0.00136994,0.00136994
56,364.216,1.3371,0.93484,1.36173,0.95416,0.9,0.89617,0.58882,1.47306,1.05117,1.38439,0.00136444,0.00136444,0.00136444
57,370.276,1.31577,0.89151,1.37177,0.98155,0.9,0.90278,0.59079,1.45709,0.8262,1.36071,0.00135894,0.00135894,0.00135894
58,376.809,1.34883,0.93937,1.3852,0.98013,0.9,0.90308,0.52363,1.56292,0.96825,1.48143,0.00135344,0.00135344,0.00135344
59,383.478,1.32001,0.84949,1.34265,0.97952,0.9,0.89726,0.56276,1.50012,0.97382,1.39867,0.00134794,0.00134794,0.00134794
60,390.058,1.34214,0.91105,1.36836,0.97378,0.9,0.89733,0.61175,1.41198,1.06377,1.43628,0.00134244,0.00134244,0.00134244
61,395.828,1.36535,0.92419,1.38099,0.9793,0.8,0.86429,0.52112,1.51211,0.92027,1.31265,0.00133693,0.00133693,0.00133693
62,402.155,1.34198,0.90932,1.37719,0.95505,0.94614,0.995,0.60162,1.42356,0.65718,1.31875,0.00133143,0.00133143,0.00133143
63,408.154,1.32374,0.87188,1.34328,0.97612,0.9,0.89828,0.58687,1.51136,0.83665,1.3326,0.00132593,0.00132593,0.00132593
64,414.192,1.29781,0.8177,1.33007,0.97333,0.9,0.89912,0.52448,1.7544,0.89957,1.46924,0.00132043,0.00132043,0.00132043
65,420.254,1.33259,0.86597,1.37228,0.97342,0.9,0.898,0.48151,1.69732,1.17133,1.51863,0.00131493,0.00131493,0.00131493
66,425.83,1.32716,0.88957,1.35184,0.79264,0.89216,0.865,0.46656,1.80705,1.20897,1.59756,0.00130943,0.00130943,0.00130943
