frame,class,confidence,xmin,ymin,xmax,ymax
9,Adidas,0.7303082346916199,63,489,228,654
10,Adidas,0.7263349294662476,63,489,228,654
19,Adidas,0.5843777060508728,344,378,450,510
20,Adidas,0.5901508927345276,338,383,446,515
21,Adidas,0.6395100951194763,338,378,445,519
22,Adidas,0.669156551361084,335,380,445,523
22,Adidas,0.5155857801437378,252,613,317,691
22,Adidas,0.4577530324459076,1663,367,1749,522
23,Adidas,0.7484704852104187,330,377,444,525
23,Adidas,0.6195271015167236,232,607,305,700
24,Adidas,0.7718247175216675,330,378,444,524
25,Adidas,0.779002845287323,329,385,442,523
25,Adidas,0.48904508352279663,204,619,280,699
26,Adidas,0.7651779651641846,327,386,442,524
26,Adidas,0.6496240496635437,184,610,259,704
26,Adidas,0.4682401120662689,1671,369,1760,526
27,Adidas,0.7333236932754517,328,386,439,526
27,Adidas,0.6079663038253784,175,611,241,700
27,Adidas,0.5357444882392883,1675,377,1762,529
28,Adidas,0.7025620341300964,323,388,436,527
28,Adidas,0.6219764351844788,150,594,224,692
28,Adidas,0.503553032875061,1670,370,1761,528
29,Adidas,0.6742358803749084,316,384,435,528
29,Adidas,0.49825966358184814,128,588,205,682
30,Adidas,0.7348127961158752,315,381,433,529
30,Adidas,0.6013479232788086,117,569,193,673
31,Adidas,0.7913484573364258,319,385,434,529
31,Adidas,0.518733024597168,101,569,172,656
32,Adidas,0.7899859547615051,323,391,432,529
32,Adidas,0.5281199812889099,80,557,150,657
32,Adidas,0.501502513885498,585,650,647,721
33,Adidas,0.8332160711288452,325,392,431,530
33,Adidas,0.7629726529121399,71,560,144,650
34,Adidas,0.8110750913619995,319,392,427,533
34,Adidas,0.5737206935882568,52,555,121,656
35,Adidas,0.8223949670791626,311,392,425,534
36,Adidas,0.8094959855079651,307,392,426,537
37,Adidas,0.7153600454330444,307,393,421,536
37,Adidas,0.462334543466568,558,656,613,725
38,Adidas,0.7333115935325623,308,395,422,534
39,Adidas,0.7615070939064026,302,393,426,537
40,Adidas,0.7012495398521423,297,400,422,538
41,Adidas,0.699122428894043,290,399,412,545
41,Adidas,0.580116331577301,524,632,586,698
42,Adidas,0.6622353792190552,291,400,412,547
43,Adidas,0.5579438805580139,291,401,411,550
43,Adidas,0.45517170429229736,505,633,566,709
44,Adidas,0.7610350251197815,289,397,412,548
44,Adidas,0.4884183704853058,1706,381,1805,552
45,Adidas,0.7601611614227295,285,396,414,550
45,Adidas,0.7393082976341248,488,647,553,722
45,Adidas,0.589246928691864,1708,386,1813,554
46,Adidas,0.7938821315765381,281,405,403,549
47,Adidas,0.7436379790306091,281,406,402,549
47,Adidas,0.494500070810318,465,664,527,740
48,Adidas,0.6793896555900574,449,670,517,745
48,Adidas,0.507698118686676,280,406,401,550
48,Adidas,0.4573046565055847,1718,382,1821,554
